variable,init_month,lead,correlation,nse,crpss,n
peakgate1_Susqueda,3,6,-0.102,0.102,0.102,28
peakgate1_Susqueda,3,7,-0.545,0.545,0.545,29
peakgate1_Susqueda,4,1,-0.355,0.355,0.355,29
peakgate1_Susqueda,4,2,-0.181,0.181,0.181,30
peakgate1_Susqueda,4,3,0.052,-0.052,-0.052,30
peakgate1_Susqueda,4,4,0.265,-0.265,-0.265,28
peakgate1_Susqueda,4,5,-0.082,0.082,0.082,28
peakgate1_Susqueda,4,6,-0.593,0.593,0.593,29
peakgate1_Susqueda,4,7,-0.145,0.145,0.145,29
peakgate1_Susqueda,5,1,-0.071,0.071,0.071,30
peakgate1_Susqueda,5,2,0.009,-0.009,-0.009,30
peakgate1_Susqueda,5,3,0.282,-0.282,-0.282,28
peakgate1_Susqueda,5,4,-0.108,0.108,0.108,28
peakgate1_Susqueda,5,5,-0.596,0.596,0.596,29
peakgate1_Susqueda,5,6,-0.126,0.126,0.126,29
peakgate1_Susqueda,5,7,-0.369,0.369,0.369,29
peakgate1_Susqueda,6,1,-0.265,0.265,0.265,30
peakgate1_Susqueda,6,2,0.146,-0.146,-0.146,28
peakgate1_Susqueda,6,3,-0.096,0.096,0.096,28
peakgate1_Susqueda,6,4,-0.519,0.519,0.519,29
peakgate1_Susqueda,6,5,-0.122,0.122,0.122,28
peakgate1_Susqueda,6,6,-0.337,0.337,0.337,29
peakgate1_Susqueda,6,7,-0.563,0.563,0.563,29
peakgate1_Susqueda,7,1,0.3,-0.3,-0.3,28
peakgate1_Susqueda,7,2,-0.102,0.102,0.102,28
peakgate1_Susqueda,7,3,-0.606,0.606,0.606,29
peakgate1_Susqueda,7,4,-0.188,0.188,0.188,29
peakgate1_Susqueda,7,5,-0.321,0.321,0.321,30
peakgate1_Susqueda,7,6,-0.538,0.538,0.538,30
peakgate1_Susqueda,7,7,-0.414,0.414,0.414,30
peakgate1_Susqueda,8,1,-0.095,0.095,0.095,28
peakgate1_Susqueda,8,2,-0.547,0.547,0.547,29
peakgate1_Susqueda,8,3,-0.257,0.257,0.257,29
peakgate1_Susqueda,8,4,-0.263,0.263,0.263,30
peakgate1_Susqueda,8,5,-0.514,0.514,0.514,29
peakgate1_Susqueda,8,6,-0.452,0.452,0.452,29
peakgate1_Susqueda,8,7,-0.318,0.318,0.318,29
peakgate1_Susqueda,9,1,-0.614,0.614,0.614,29
peakgate1_Susqueda,9,2,-0.231,0.231,0.231,29
peakgate1_Susqueda,9,3,-0.284,0.284,0.284,30
peakgate1_Susqueda,9,4,-0.571,0.571,0.571,29
peakgate1_Susqueda,9,5,-0.508,0.508,0.508,29
peakgate1_Susqueda,9,6,-0.313,0.313,0.313,29
peakgate1_Susqueda,9,7,-0.332,0.332,0.332,29
peakgate1_Susqueda,10,1,-0.178,0.178,0.178,29
peakgate1_Susqueda,10,2,-0.287,0.287,0.287,30
peakgate1_Susqueda,10,3,-0.618,0.618,0.618,30
peakgate1_Susqueda,10,4,-0.472,0.472,0.472,30
peakgate1_Susqueda,10,5,-0.261,0.261,0.261,30
peakgate1_Susqueda,10,6,-0.482,0.482,0.482,29
peakgate1_Susqueda,10,7,-0.269,0.269,0.269,28
peakgate1_Susqueda,11,1,-0.255,0.255,0.255,30
peakgate1_Susqueda,11,2,-0.65,0.65,0.65,30
peakgate1_Susqueda,11,3,-0.472,0.472,0.472,30
peakgate1_Susqueda,11,4,-0.315,0.315,0.315,30
peakgate1_Susqueda,11,5,-0.407,0.407,0.407,29
peakgate1_Susqueda,11,6,-0.269,0.269,0.269,28
peakgate1_Susqueda,11,7,-0.175,0.175,0.175,29
peakgate1_Susqueda,12,1,-0.467,0.467,0.467,30
peakgate1_Susqueda,12,2,-0.472,0.472,0.472,30
peakgate1_Susqueda,12,3,-0.315,0.315,0.315,30
peakgate1_Susqueda,12,4,-0.365,0.365,0.365,29
peakgate1_Susqueda,12,5,-0.418,0.418,0.418,28
peakgate1_Susqueda,12,6,-0.251,0.251,0.251,29
peakgate1_Susqueda,12,7,0.076,-0.076,-0.076,29
peakgate2_Susqueda,1,1,-0.252,0.252,0.252,31
peakgate2_Susqueda,1,2,-0.165,0.165,0.165,31
peakgate2_Susqueda,1,3,-0.354,0.354,0.354,30
peakgate2_Susqueda,1,4,-0.623,0.623,0.623,30
peakgate2_Susqueda,1,5,-0.136,0.136,0.136,30
peakgate2_Susqueda,1,6,-0.274,0.274,0.274,30
peakgate2_Susqueda,1,7,0.233,-0.233,-0.233,30
peakgate2_Susqueda,2,1,-0.179,0.179,0.179,31
peakgate2_Susqueda,2,2,-0.224,0.224,0.224,30
peakgate2_Susqueda,2,3,-0.507,0.507,0.507,30
peakgate2_Susqueda,2,4,-0.343,0.343,0.343,30
peakgate2_Susqueda,2,5,-0.377,0.377,0.377,30
peakgate2_Susqueda,2,6,0.137,-0.137,-0.137,30
peakgate2_Susqueda,2,7,-0.088,0.088,0.088,29
peakgate2_Susqueda,3,1,-0.513,0.513,0.513,30
peakgate2_Susqueda,3,2,-0.648,0.648,0.648,30
peakgate2_Susqueda,3,3,-0.403,0.403,0.403,30
peakgate2_Susqueda,3,4,-0.371,0.371,0.371,30
peakgate2_Susqueda,3,5,0.134,-0.134,-0.134,30
peakgate2_Susqueda,3,6,-0.075,0.075,0.075,29
peakgate2_Susqueda,3,7,-0.159,0.159,0.159,30
peakgate2_Susqueda,4,1,-0.44,0.44,0.44,30
peakgate2_Susqueda,4,2,-0.234,0.234,0.234,30
peakgate2_Susqueda,4,3,-0.372,0.372,0.372,30
peakgate2_Susqueda,4,4,0.138,-0.138,-0.138,30
peakgate2_Susqueda,4,5,-0.121,0.121,0.121,29
peakgate2_Susqueda,4,6,-0.221,0.221,0.221,30
peakgate2_Susqueda,4,7,-0.33,0.33,0.33,30
peakgate2_Susqueda,5,1,-0.31,0.31,0.31,30
peakgate2_Susqueda,5,2,-0.363,0.363,0.363,30
peakgate2_Susqueda,5,3,0.087,-0.087,-0.087,30
peakgate2_Susqueda,5,4,-0.109,0.109,0.109,29
peakgate2_Susqueda,5,5,-0.188,0.188,0.188,30
peakgate2_Susqueda,5,6,-0.37,0.37,0.37,30
peakgate2_Susqueda,5,7,-0.663,0.663,0.663,30
peakgate2_Susqueda,6,1,-0.305,0.305,0.305,30
peakgate2_Susqueda,6,2,0.22,-0.22,-0.22,30
peakgate2_Susqueda,6,3,-0.031,0.031,0.031,29
peakgate2_Susqueda,6,4,-0.214,0.214,0.214,30
peakgate2_Susqueda,6,5,-0.279,0.279,0.279,30
peakgate2_Susqueda,6,6,-0.647,0.647,0.647,30
peakgate2_Susqueda,6,7,-0.372,0.372,0.372,30
peakgate2_Susqueda,7,1,0.225,-0.225,-0.225,30
peakgate2_Susqueda,7,2,0.12,-0.12,-0.12,29
peakgate2_Susqueda,7,3,-0.17,0.17,0.17,30
peakgate2_Susqueda,7,4,-0.303,0.303,0.303,30
peakgate2_Susqueda,7,5,-0.705,0.705,0.705,30
peakgate2_Susqueda,7,6,-0.438,0.438,0.438,30
peakgate2_Susqueda,7,7,-0.135,0.135,0.135,30
peakgate2_Susqueda,8,1,0.13,-0.13,-0.13,29
peakgate2_Susqueda,8,2,-0.332,0.332,0.332,30
peakgate2_Susqueda,8,3,-0.299,0.299,0.299,30
peakgate2_Susqueda,8,4,-0.689,0.689,0.689,30
peakgate2_Susqueda,8,5,-0.404,0.404,0.404,30
peakgate2_Susqueda,8,6,-0.471,0.471,0.471,30
peakgate2_Susqueda,8,7,-0.152,0.152,0.152,30
peakgate2_Susqueda,9,1,-0.164,0.164,0.164,30
peakgate2_Susqueda,9,2,-0.287,0.287,0.287,30
peakgate2_Susqueda,9,3,-0.707,0.707,0.707,30
peakgate2_Susqueda,9,4,-0.431,0.431,0.431,30
peakgate2_Susqueda,9,5,-0.149,0.149,0.149,30
peakgate2_Susqueda,9,6,-0.152,0.152,0.152,30
peakgate2_Susqueda,9,7,-0.404,0.404,0.404,29
peakgate2_Susqueda,10,1,-0.295,0.295,0.295,30
peakgate2_Susqueda,10,2,-0.714,0.714,0.714,30
peakgate2_Susqueda,10,3,-0.357,0.357,0.357,30
peakgate2_Susqueda,10,4,-0.149,0.149,0.149,30
peakgate2_Susqueda,10,5,-0.083,0.083,0.083,30
peakgate2_Susqueda,10,6,-0.478,0.478,0.478,29
peakgate2_Susqueda,10,7,-0.56,0.56,0.56,29
peakgate2_Susqueda,11,1,-0.62,0.62,0.62,30
peakgate2_Susqueda,11,2,-0.37,0.37,0.37,30
peakgate2_Susqueda,11,3,-0.198,0.198,0.198,30
peakgate2_Susqueda,11,4,-0.152,0.152,0.152,30
peakgate2_Susqueda,11,5,-0.471,0.471,0.471,29
peakgate2_Susqueda,11,6,-0.587,0.587,0.587,29
peakgate2_Susqueda,11,7,-0.43,0.43,0.43,29
peakgate2_Susqueda,12,1,-0.339,0.339,0.339,30
peakgate2_Susqueda,12,2,-0.149,0.149,0.149,30
peakgate2_Susqueda,12,3,-0.152,0.152,0.152,30
peakgate2_Susqueda,12,4,-0.432,0.432,0.432,29
peakgate2_Susqueda,12,5,-0.542,0.542,0.542,29
peakgate2_Susqueda,12,6,-0.303,0.303,0.303,29
peakgate2_Susqueda,12,7,-0.4,0.4,0.4,29
peakgate3_Susqueda,1,1,-0.308,0.308,0.308,31
peakgate3_Susqueda,1,2,-0.087,0.087,0.087,31
peakgate3_Susqueda,1,3,-0.309,0.309,0.309,30
peakgate3_Susqueda,1,4,-0.231,0.231,0.231,30
peakgate3_Susqueda,1,5,-0.342,0.342,0.342,30
peakgate3_Susqueda,1,6,-0.202,0.202,0.202,30
peakgate3_Susqueda,1,7,0.055,-0.055,-0.055,30
peakgate3_Susqueda,2,1,-0.087,0.087,0.087,31
peakgate3_Susqueda,2,2,-0.04,0.04,0.04,30
peakgate3_Susqueda,2,3,-0.082,0.082,0.082,30
peakgate3_Susqueda,2,4,-0.385,0.385,0.385,30
peakgate3_Susqueda,2,5,-0.23,0.23,0.23,30
peakgate3_Susqueda,2,6,0.085,-0.085,-0.085,30
peakgate3_Susqueda,2,7,0.02,-0.02,-0.02,30
peakgate3_Susqueda,3,1,-0.282,0.282,0.282,30
peakgate3_Susqueda,3,2,-0.003,0.003,0.003,30
peakgate3_Susqueda,3,3,-0.41,0.41,0.41,30
peakgate3_Susqueda,3,4,-0.243,0.243,0.243,30
peakgate3_Susqueda,3,5,0.109,-0.109,-0.109,30
peakgate3_Susqueda,3,6,0.009,-0.009,-0.009,30
peakgate3_Susqueda,3,7,-0.139,0.139,0.139,30
peakgate3_Susqueda,4,1,-0.308,0.308,0.308,30
peakgate3_Susqueda,4,2,-0.39,0.39,0.39,30
peakgate3_Susqueda,4,3,-0.232,0.232,0.232,30
peakgate3_Susqueda,4,4,0.131,-0.131,-0.131,30
peakgate3_Susqueda,4,5,0.014,-0.014,-0.014,30
peakgate3_Susqueda,4,6,-0.2,0.2,0.2,30
peakgate3_Susqueda,4,7,0.198,-0.198,-0.198,30
peakgate3_Susqueda,5,1,-0.553,0.553,0.553,30
peakgate3_Susqueda,5,2,-0.269,0.269,0.269,30
peakgate3_Susqueda,5,3,0.132,-0.132,-0.132,30
peakgate3_Susqueda,5,4,-0.021,0.021,0.021,30
peakgate3_Susqueda,5,5,-0.162,0.162,0.162,30
peakgate3_Susqueda,5,6,-0.035,0.035,0.035,30
peakgate3_Susqueda,5,7,-0.431,0.431,0.431,30
peakgate3_Susqueda,6,1,-0.164,0.164,0.164,30
peakgate3_Susqueda,6,2,0.086,-0.086,-0.086,30
peakgate3_Susqueda,6,3,-0.021,0.021,0.021,30
peakgate3_Susqueda,6,4,-0.189,0.189,0.189,30
peakgate3_Susqueda,6,5,0.025,-0.025,-0.025,30
peakgate3_Susqueda,6,6,-0.4,0.4,0.4,30
peakgate3_Susqueda,6,7,-0.201,0.201,0.201,30
